id,name
ai_machine_learning,AI/Machine Learning
big_data,Big Data
business_applications,Business Applications
cloud_management_tools_devOps,Cloud Management Tools & DevOps
containers_serverless,Containers & Serverless
end_user_computing,End User Computing
energy,Energy
financial_Services,Financial Services
healthcare_life_Sciences,Healthcare & Life Sciences
hybrid_application_platform,Hybrid application platform
industrial_software,Industrial Software
iot,IOT
media_High_performance_computing,Media & High performance computing (HPC)
migration,Migration
networking,Networking
security,Security
storage,Storage